size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
59846656,1.99,2548,5,4.0,1120,2,3,37,5,1,1,0
27807744,0.99,319,12,5.0,816,0,7,38,5,5,1,2
60976128,0.0,34507,38,5.0,1251,0,17,37,0,1,1,0
194386944,0.99,26482,331,2.5,348,2,7,37,0,6,1,0
49470464,0.0,273,0,0.0,1265,0,13,37,5,1,1,2
147118080,2.99,8331,24,3.5,547,0,11,37,3,15,1,0
125411328,0.99,17023,916,4.5,695,2,7,40,0,1,1,0
63316992,4.99,1101,8,4.0,1425,2,7,38,5,1,1,0
15313920,0.99,1193,1,2.0,993,1,7,40,5,1,1,0
69816320,0.0,35,0,0.0,568,1,19,37,3,1,1,2
32848910,1.99,4088,436,4.5,382,2,7,47,4,1,1,0
52821364,4.99,63943,31264,4.0,382,1,7,47,0,1,1,0
146507776,0.0,70286,51,4.0,603,2,17,37,0,1,1,2
24747008,0.0,1150,0,0.0,1286,2,1,37,5,19,1,2
89517056,0.0,54630,280,4.5,560,2,17,37,4,1,1,2
40722432,0.0,98777,233,4.0,1224,2,4,37,2,12,1,2
73332736,0.99,649,11,4.0,989,2,14,37,5,1,1,0
83906560,0.0,60236,58,4.5,1263,0,4,37,0,1,1,2
76644352,0.0,115,0,0.0,600,2,6,37,5,1,1,0
37340259,0.99,26732,1428,4.5,488,1,7,43,0,1,1,0
26137600,1.99,2722,1,5.0,647,2,17,37,0,1,1,0
107816960,0.0,11013,76,5.0,1240,2,17,37,0,1,1,0
152700928,0.0,507706,181,4.5,1448,2,8,37,5,19,1,0
112024576,0.0,397,0,0.0,1096,2,20,37,0,16,1,0
35864576,9.99,196,3,5.0,1059,2,15,38,5,2,1,0
49594368,3.99,24553,2620,4.5,1053,3,13,38,5,26,1,0
114081792,2.99,12557,6,5.0,1051,2,14,37,5,15,1,0
91267072,0.0,26227,7,4.5,1339,3,11,37,4,14,1,0
8821760,4.99,28388,7009,5.0,819,2,1,38,5,9,1,0
69513216,2.99,282,1,5.0,974,2,8,38,4,1,1,0
7767040,0.99,19296,7,4.0,280,2,7,37,3,1,1,0
88702976,0.0,183425,4724,5.0,1444,0,4,37,5,10,1,0
175966208,0.0,824451,107,3.0,1466,2,7,38,0,10,1,0
84791296,0.0,512,6,5.0,589,2,20,38,0,2,1,0
27997184,2.99,315,0,0.0,1226,2,9,37,0,31,1,0
131463168,0.0,268,0,0.0,1052,2,20,37,5,6,1,0
5415000,1.99,438,295,4.5,647,2,7,45,0,1,1,0
126867456,0.0,187,0,0.0,1568,2,12,37,5,3,1,0
878883840,4.99,15142,73,4.0,1152,1,7,38,5,6,1,0
88773632,0.0,30552,18,2.5,1165,2,20,37,0,1,1,2
812758016,2.99,9744,42,3.0,248,0,7,37,4,6,1,0
28616704,0.0,13482,2517,4.5,1047,2,3,38,5,8,1,0
7111680,0.0,17516,125,5.0,1450,2,5,37,5,1,1,0
34056767,0.0,186653,226,3.5,709,2,7,43,0,1,1,0
21450752,0.99,10031,142,5.0,1078,2,4,43,0,1,1,0
97879040,0.0,81,0,0.0,1249,2,4,37,5,1,1,2
22299021,0.99,9854,823,4.0,226,2,7,47,0,1,1,0
10231808,2.99,1093,106,4.5,476,3,20,38,0,1,1,0
132480000,2.99,4475,95,4.5,1270,2,8,37,5,2,1,0
47182848,2.99,9405,1089,4.5,891,2,7,37,5,1,1,0
100048896,1.99,2417,1366,4.5,1335,2,8,38,2,1,1,0
174839808,0.99,2923,300,4.5,1488,2,1,37,0,7,1,0
13725696,2.99,8657,1468,4.0,882,3,4,38,4,1,1,0
11369472,0.99,70,1,1.0,696,2,14,37,4,5,1,2
155857920,0.0,162,32,5.0,1250,1,13,37,5,2,1,0
38718464,0.99,5,0,0.0,835,2,9,40,0,2,1,0
17879270,0.99,12354,1428,4.5,889,0,7,47,0,1,1,0
96635904,0.0,269,0,0.0,1529,0,18,37,0,1,1,2
8039424,3.99,0,0,0.0,1435,3,0,37,5,1,1,1
105379840,0.99,426463,680,4.0,479,3,7,38,0,5,1,0
